Stock Type,Date,Open,High,Low,Close,Volume,Adj Close
NASDAQ Composite,3/3/2014,4261.42,4371.71,4239.65,4352.13,2760962500,4352.13
NASDAQ Composite,2/3/2014,4105.06,4342.59,3968.19,4308.12,2241890000,4308.12
NASDAQ Composite,1/2/2014,4160.03,4246.55,4044.76,4103.88,2263246600,4103.88
NASDAQ Composite,12/2/2013,4065.66,4177.73,3979.59,4176.59,3227604700,4176.59
NASDAQ Composite,11/1/2013,3932.45,4069.7,3855.07,4059.89,1833598500,4059.89
NASDAQ Composite,10/1/2013,3774.18,3966.71,3650.03,3919.71,1963340800,3919.71
NASDAQ Composite,9/3/2013,3622.64,3798.76,3593.62,3771.48,1844675000,3771.48
NASDAQ Composite,8/1/2013,3654.18,3694.19,3573.57,3589.87,1557407700,3589.87
NASDAQ Composite,7/1/2013,3430.48,3649.35,3415.23,3626.37,1719631800,3626.37
NASDAQ Composite,6/3/2013,3460.76,3488.31,3294.95,3403.25,2057933000,3403.25
NASDAQ Composite,5/1/2013,3325.35,3532.04,3296.5,3455.91,1868743100,3455.91
NASDAQ Composite,4/1/2013,3268.63,3328.79,3154.96,3328.79,1767663600,3328.79
NASDAQ Composite,3/1/2013,3143.54,3270.3,3129.4,3267.52,1769299000,3267.52
NASDAQ Composite,2/1/2013,3162.94,3213.6,3105.36,3160.19,1988840000,3160.19
NASDAQ Composite,1/2/2013,3091.33,3164.06,3076.6,3142.13,1962783800,3142.13
NASDAQ Composite,12/3/2012,3029.21,3061.82,2951.04,3019.51,1753986000,3019.51
NASDAQ Composite,11/1/2012,2987.54,3033.85,2810.8,3010.24,1861356100,3010.24
NASDAQ Composite,10/1/2012,3130.31,3171.46,2961.16,2977.23,1817800000,2977.23
NASDAQ Composite,9/4/2012,3063.25,3196.93,3040.24,3116.23,1872861500,3116.23
NASDAQ Composite,8/1/2012,2956.72,3100.54,2890.85,3066.96,1613204700,3066.96
NASDAQ Composite,7/2/2012,2938.41,2987.94,2837.72,2939.52,1737529500,2939.52
NASDAQ Composite,6/1/2012,2810.13,2942.28,2726.68,2935.05,1879992300,2935.05
NASDAQ Composite,5/1/2012,3044.79,3085.4,2774.45,2827.34,1922548100,2827.34
NASDAQ Composite,4/2/2012,3085.94,3128.25,2946.04,3046.36,1771358000,3046.36
NASDAQ Composite,3/1/2012,2979.11,3134.17,2900.28,3091.57,1750883600,3091.57
NASDAQ Composite,2/1/2012,2830.1,3000.11,2825.19,2966.89,1994932500,2966.89
NASDAQ Composite,1/3/2012,2657.39,2834.3,2627.23,2813.84,1855622500,2813.84
NASDAQ Composite,12/1/2011,2615.67,2674.53,2518.01,2605.15,1630203800,2605.15
NASDAQ Composite,11/1/2011,2607.31,2730.39,2441.48,2620.34,1944674700,2620.34
NASDAQ Composite,10/3/2011,2401.19,2753.37,2298.89,2684.41,2121923300,2684.41
NASDAQ Composite,9/1/2011,2583.34,2643.37,2414.31,2415.4,2144659000,2415.4
NASDAQ Composite,8/1/2011,2791.45,2796.24,2331.65,2579.46,2564059100,2579.46
NASDAQ Composite,7/1/2011,2775.08,2878.94,2724.99,2756.38,1979209500,2756.38
NASDAQ Composite,6/1/2011,2829.39,2834.05,2599.86,2773.52,2019538100,2773.52
NASDAQ Composite,5/2/2011,2881.28,2887.75,2739.85,2835.3,2119866600,2835.3
NASDAQ Composite,4/1/2011,2796.67,2876.83,2706.5,2873.54,2024012500,2873.54
NASDAQ Composite,3/1/2011,2791.08,2802.32,2603.5,2781.07,2041148200,2781.07
NASDAQ Composite,2/1/2011,2717.61,2840.51,2705.54,2782.27,2170254700,2782.27
NASDAQ Composite,1/3/2011,2676.65,2766.17,2663.64,2700.08,2108703500,2700.08
NASDAQ Composite,12/1/2010,2535.19,2675.26,2535.19,2652.87,1696976800,2652.87
NASDAQ Composite,11/1/2010,2520.45,2592.94,2459.79,2498.23,2057668500,2498.23
NASDAQ Composite,10/1/2010,2386.82,2517.5,2332.46,2507.41,2076593300,2507.41
NASDAQ Composite,9/1/2010,2142.75,2400.06,2141.95,2368.62,2095484200,2368.62
NASDAQ Composite,8/2/2010,2283.32,2309.43,2099.29,2114.03,1994470400,2114.03
NASDAQ Composite,7/1/2010,2110.75,2307.6,2061.14,2254.7,2192808500,2254.7
NASDAQ Composite,6/1/2010,2244.79,2341.11,2105.26,2109.24,2311604000,2109.24
NASDAQ Composite,5/3/2010,2472.32,2503,2140.53,2257.04,2968435500,2257.04
NASDAQ Composite,4/1/2010,2411.68,2535.28,2383.77,2461.19,2731889000,2461.19
NASDAQ Composite,3/1/2010,2247.4,2432.25,2247.33,2397.96,2492358200,2397.96
NASDAQ Composite,2/1/2010,2155.81,2251.68,2100.17,2238.26,2374673100,2238.26
NASDAQ Composite,1/4/2010,2294.41,2326.28,2140.34,2147.35,2564021500,2147.35
NASDAQ Composite,12/1/2009,2162.23,2295.8,2155.96,2269.15,1841222200,2269.15
NASDAQ Composite,11/2/2009,2047.42,2205.32,2024.27,2144.6,2043167500,2144.6
NASDAQ Composite,10/1/2009,2111.77,2190.64,2040.21,2045.11,2413632700,2045.11
NASDAQ Composite,9/1/2009,2001.3,2167.7,1958.04,2122.42,2490170000,2122.42
NASDAQ Composite,8/3/2009,1998.35,2059.48,1929.64,2009.06,2203232300,2009.06
NASDAQ Composite,7/1/2009,1846.12,2009.81,1727.05,1978.5,2239760900,1978.5
NASDAQ Composite,6/1/2009,1796.09,1879.92,1753.78,1835.04,2451192200,1835.04
NASDAQ Composite,5/1/2009,1719.29,1774.33,1664.19,1774.33,2490867000,1774.33
NASDAQ Composite,4/1/2009,1504.87,1753.61,1498.54,1717.3,2454997100,1717.3
NASDAQ Composite,3/2/2009,1356.13,1587,1265.52,1528.59,2347197200,1528.59
NASDAQ Composite,2/2/2009,1460.85,1598.5,1372.42,1377.84,2356521000,1377.84
NASDAQ Composite,1/2/2009,1578.87,1665.63,1434.08,1476.42,2102509500,1476.42
NASDAQ Composite,12/1/2008,1496.09,1602.92,1398.07,1577.03,1870050400,1577.03
NASDAQ Composite,11/3/2008,1718.89,1785.84,1295.48,1535.57,2248462600,1535.57
NASDAQ Composite,10/1/2008,2075.1,2083.2,1493.79,1720.95,2824966900,1720.95
NASDAQ Composite,9/2/2008,2402.11,2413.11,1983.73,2091.88,2576151400,2091.88
NASDAQ Composite,8/1/2008,2326.83,2473.2,2280.93,2367.52,1954377100,2367.52
NASDAQ Composite,7/1/2008,2274.24,2353.39,2167.29,2325.55,2408589500,2325.55
NASDAQ Composite,6/2/2008,2514.82,2549.94,2290.59,2292.98,2288785700,2292.98
NASDAQ Composite,5/1/2008,2416.49,2551.47,2416.49,2522.66,2139831400,2522.66
NASDAQ Composite,4/1/2008,2306.51,2451.19,2266.29,2412.8,2038801800,2412.8
NASDAQ Composite,3/3/2008,2271.26,2346.78,2155.42,2279.1,2337740000,2279.1
NASDAQ Composite,2/1/2008,2392.58,2419.23,2252.65,2271.48,2408646500,2271.48
NASDAQ Composite,1/2/2008,2653.91,2661.5,2202.54,2389.86,2763113300,2389.86
NASDAQ Composite,12/3/2007,2654.91,2734.82,2553.99,2652.28,1960397000,2652.28
NASDAQ Composite,11/1/2007,2835,2835.63,2539.81,2660.96,2513625200,2660.96
NASDAQ Composite,10/1/2007,2704.25,2861.51,2698.14,2859.12,2229832600,2859.12
NASDAQ Composite,9/4/2007,2596.38,2716.75,2536.93,2701.5,1957217800,2701.5
NASDAQ Composite,8/1/2007,2538.5,2627.75,2386.69,2596.36,2333159500,2596.36
NASDAQ Composite,7/2/2007,2617.39,2724.74,2545.9,2546.27,2280785200,2546.27
NASDAQ Composite,6/1/2007,2614.01,2634.6,2534.97,2603.23,2262320400,2603.23
NASDAQ Composite,5/1/2007,2529.95,2607.9,2510.57,2604.52,2115423100,2604.52
NASDAQ Composite,4/2/2007,2425.36,2562.99,2409.04,2525.09,2089885500,2525.09
